项目生产信息,,,,,,,,
,,,,,,,,
2023年,9 ,月,1 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,6180 ,6180,752716,68.29%,68.29%,52.62%,"原料系统：
1.0:00-3:18窑停磨停，11:52-16:10石灰石库存低，停磨待料
回转窑系统：
1.0:00-1:50 C5A堵料，停窑处理"
,SRC生料,,0,455586,,,,
回转窑,OPC熟料,4452 ,4452,483775,92.38%,92.38%,61.65%,
,SRC熟料,,0,281182,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,9 ,月,2 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,7246 ,13426,759962,81.13%,74.71%,52.74%,"原料系统：
1.铁粉称电气故障停机14分钟，
2.14:22-14:40立磨1号高压泵跳停，立磨连锁跳停。"
,SRC生料,,0,455586,,,,
回转窑,OPC熟料,4924 ,9377,488699,100.00%,96.19%,61.81%,
,SRC熟料,,0,281182,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,9 ,月,3 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,8151 ,21577,768113,91.67%,80.36%,52.89%,1.2:57-4:57石灰石库存低，立磨停机待料
,SRC生料,,0,455586,,,,
回转窑,OPC熟料,4992 ,14369,493691,100.00%,97.46%,61.97%,
,SRC熟料,,0,281182,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,9 ,月,4 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,5963 ,27540,774076,68.33%,77.35%,52.96%,"原料系统：
1.9:00-16:30石灰石库存低，
2.23:36-24:00窑停磨停
回转窑系统：
1.15:24-15:42入窑斗提通讯故障，2.23:34-24:00C5A堵料。"
,SRC/OWC生料,0 ,0,455586,,,,
回转窑,OPC熟料,4764 ,19133,498455,67.50%,89.97%,61.99%,
,SRC/OWC熟料,0 ,0,281182,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,9 ,月,5 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,4729 ,32269,778805,47.08%,71.30%,52.93%,"原料系统：
1.0:00-8:00窑停磨停，
2.12:36-17:18窑停磨停
回转窑系统：
1.0:00-6:30C5A堵料清理，
2.12:20-12:40窑喂料称故障。"
,SRC/OWC生料,0 ,0,455586,,,,
回转窑,OPC熟料,2877 ,22010,501332,66.00%,85.18%,62.01%,
,SRC/OWC熟料,0 ,0,281182,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,9 ,月,6 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,7014 ,39283,785819,86.13%,73.77%,53.07%,1.0:30-3:50石灰石库存低，停机待料
,SRC/OWC生料,0 ,0,455586,,,,
回转窑,OPC熟料,4918 ,26928,506250,100.00%,87.65%,62.16%,
,SRC/OWC熟料,0 ,0,281182,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,9 ,月,7 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,8137,47420,793956,93.75%,76.63%,53.23%,"1.10:43-10:58,14:23-15:38立磨减速机1#高压泵跳停，立磨连锁停机"
,SRC/OWC生料,0,0,455586,,,,
回转窑,OPC熟料,5120 ,32047,511370,100.00%,89.41%,62.31%,
,SRC/OWC熟料,0 ,0,281182,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,9 ,月,8 ,日,,,,
