项目生产信息,,,,,,,,
,,,,,,,,
2023年,7 ,月,1 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0 ,0,469420,100.00%,100.00%,50.83%,
,SRC生料,9007 ,9007,409593,,,,
回转窑,OPC熟料,0 ,0,298734,100.00%,100.00%,58.57%,
,SRC熟料,5389 ,5389,250332,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,7 ,月,2 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0 ,0,469420,50.83%,75.42%,50.83%,"1.1:56-2:56入磨分格轮过载跳停，立磨连锁停机；
2.2:56-13:42立磨液压泵损坏，待备件。"
,SRC生料,4700 ,13707,414293,,,,
回转窑,OPC熟料,0 ,0,298734,100.00%,100.00%,58.79%,
,SRC熟料,4988 ,10377,255321,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,7 ,月,3 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,8413 ,8413,477833,91.67%,80.83%,51.05%,1.0:34-2:34更换黏土板喂称刮板两个；
,SRC生料,,13707,414293,,,,
回转窑,OPC熟料,5598 ,5598,304332,100.00%,100.00%,59.02%,
,SRC熟料,,10377,255321,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,7 ,月,4 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,9594 ,18007,487427,100.00%,85.63%,51.32%,
,SRC/OWC生料,,13707,414293,,,,
回转窑,OPC熟料,5787 ,11385,310119,100.00%,100.00%,59.24%,
,SRC/OWC熟料,,10377,255321,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,7 ,月,5 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,1009 ,19016,488436,10.42%,70.58%,51.10%,"1.2:30-24:00窑停磨停；
2.3:00-24:00停窑修补SC炉浇注料。"
,SRC/OWC生料,0 ,13707,414293,,,,
回转窑,OPC熟料,672 ,12057,310791,12.50%,82.50%,58.99%,
,SRC/OWC熟料,0 ,10377,255321,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,7 ,月,6 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,0 ,19016,488436,0.00%,58.82%,50.82%,"原料磨系统：
1.0:00-24:00窑停磨停；
回转窑系统：
1.0:00-24:00停窑修补SC炉浇注料。
2.13:30回转窑点火升温。"
,SRC/OWC生料,0 ,13707,414293,,,,
回转窑,OPC熟料,0 ,12057,310791,0.00%,68.75%,58.67%,
,SRC/OWC熟料,0 ,10377,255321,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,7 ,月,7 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,3688,22704,492124,43.33%,56.61%,50.78%,"原料磨系统：
1.0:00-8:18窑停磨停；
2.18:24-23:42石灰石料堆小，供应不上，停磨待料；
回转窑系统：
1.7:30回转窑投料生产。"
,SRC/OWC生料,0,13707,414293,,,,
回转窑,OPC熟料,3106 ,15163,313897,68.75%,68.75%,58.72%,
,SRC/OWC熟料,0 ,10377,255321,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,7 ,月,8 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,8341,31045,500465,89.46%,60.71%,50.99%,"原料磨系统：
1.14:34-17:04窑停磨停；

回转窑系统：

1.14:34-16:30入窑斗提通讯故障跳停，窑止料。"
,SRC/OWC生料,0,13707,414293,,,,
回转窑,OPC熟料,4988,20151,318885,91.96%,71.65%,58.90%,
,SRC/OWC熟料,0,10377,255321,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,7 ,月,9 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,9315,40360,509780,100.00%,65.08%,51.25%,
,SRC/OWC生料,0,13707,414293,,,,
回转窑,OPC熟料,5743,25894,324628,100.00%,74.80%,59.12%,
,SRC/OWC熟料,0,10377,255321,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,7 ,月,10 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,9322,49682,519102,100.00%,68.57%,51.50%,
,SRC/OWC生料,0,13707,414293,,,,
回转窑,OPC熟料,5654,31548,330282,100.00%,77.32%,59.33%,
,SRC/OWC熟料,0,10377,255321,,,,
项目生产信息,,,,,,,,
,,,,,,,,
