项目生产信息,,,,,,,,
,,,,,,,,
2023年,8 ,月,1 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,8997 ,8997,638658,100.00%,100.00%,52.28%,
,SRC生料,,0,414293,,,,
回转窑,OPC熟料,5288 ,5288,406464,100.00%,100.00%,60.58%,
,SRC熟料,,0,255338,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,8 ,月,2 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,9126 ,18123,647784,100.00%,100.00%,52.50%,
,SRC生料,,0,414293,,,,
回转窑,OPC熟料,5291 ,10578,411754,100.00%,100.00%,60.77%,
,SRC熟料,,0,255338,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,8 ,月,3 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,9273 ,27396,657057,100.00%,100.00%,52.72%,
,SRC生料,,0,414293,,,,
回转窑,OPC熟料,5521 ,16099,417275,100.00%,100.00%,60.95%,
,SRC熟料,,0,255338,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,8 ,月,4 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,3501 ,30897,660558,38.33%,84.58%,52.66%,"原料系统：
1.9:12-24:00石灰石库存低，立磨停机待料"
,SRC/OWC生料,0 ,0,414293,,,,
回转窑,OPC熟料,5005 ,21104,422280,100.00%,100.00%,61.13%,
,SRC/OWC熟料,0 ,0,255338,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,8 ,月,5 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,5813 ,36710,666371,65.00%,80.67%,52.71%,"原料系统：
1.0:00-6:30石灰石库存低，立磨停机待料；
2.11:40-12:40窑停磨停；
3.20:14-21:09入磨分格轮过载跳停，磨机停机；
回转窑系统：
1.11:36-11:50窑主电机跳停，窑止料。"
,SRC/OWC生料,0 ,0,414293,,,,
回转窑,OPC熟料,5054 ,26159,427335,99.04%,99.81%,61.31%,
,SRC/OWC熟料,0 ,0,255338,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,8 ,月,6 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,8997 ,45707,675368,97.50%,83.47%,52.92%,"原料系统：
1.23:24-24:00石灰石库存低，立磨停机待料"
,SRC/OWC生料,0 ,0,414293,,,,
回转窑,OPC熟料,5386 ,31545,432721,100.00%,99.84%,61.48%,
,SRC/OWC熟料,0 ,0,255338,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,8 ,月,7 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,1585,47292,676953,18.75%,74.23%,52.76%,"原料系统：
1.0:00-2:00,6:30-24:00石灰石库存低，立磨停机待料。"
,SRC/OWC生料,0,0,414293,,,,
回转窑,OPC熟料,5243 ,36788,437964,100.00%,99.86%,61.66%,
,SRC/OWC熟料,0 ,0,255338,,,,
项目生产信息,,,,,,,,
,,,,,,,,
2023年,8 ,月,8 ,日,,,,
主机名称,项目,日产量（T）,月产量（T）,年产量（T）,日运转率（%）,月累运转率（%）,年累运转率（%）,备注
原料磨,OPC生料,5957,53249,682910,67.85%,73.43%,52.83%,"原料系统：
1.0:00-3:48,22:36-24:00，11:12-13:43石灰石库存低，
回转窑系统：
1.11:10-11:20窑主电机备妥丢失，窑止料"
,SRC/OWC生料,0,0,414293,,,,
